mso:computer.software_genre	mso:computer.software_genre.parent_genre	mso:computer.software_genre
mso:award.category	mso:award.category.category_of	mso:award.award
mso:cricket.bowler_stats	mso:cricket.bowler_stats.best_bowling_in_an_inning	mso:measurement_unit.integer_ratio
mso:cricket.team_stats	mso:cricket.team_stats.test_team	mso:cricket.team
mso:chemistry.chemical_compound	mso:chemistry.chemical_compound.molar_entropy_liquid	mso:type.decimal
mso:internet.website	mso:internet.website.launched	mso:type.datetime
mso:automotive.option_package	mso:automotive.option_package.trim_levels	mso:automotive.trim_level
mso:soccer.player_loan	mso:soccer.player_loan.to	mso:type.datetime
mso:book.translation	mso:book.translation.translator	mso:book.translator
mso:automotive.motorcycle_part	mso:automotive.motorcycle_part.original_on_body_styles	mso:automotive.motorcycle_body_style
mso:basketball.team	mso:basketball.team.division	mso:basketball.division
mso:education.dissertation	mso:education.dissertation.defense_date	mso:type.datetime
mso:commerce.electronics_product	mso:commerce.electronics_product.audio_decoder	mso:computer.compression_decompression_format
mso:business.holding	mso:business.holding.unit	mso:type.decimal
mso:rail.train	mso:rail.train.track_gauge	mso:type.decimal
mso:automotive.automotive_class	mso:automotive.automotive_class.gear_ratio	mso:measurement_unit.integer_ratio
mso:organization.non_profit_registration	mso:organization.non_profit_registration.date_of_revocation	mso:type.datetime
mso:media_common.adaptation	mso:media_common.adaptation.adapted_from	mso:media_common.adapted_work
mso:measurement_unit.speed_unit	mso:measurement_unit.speed_unit.measurement_system	mso:measurement_unit.measurement_system
mso:sports.golf_facility	mso:sports.golf_facility.access	mso:sports.golf_club_access
mso:basketball.roster_position	mso:basketball.roster_position.position	mso:basketball.position
mso:cricket.team_stats	mso:cricket.team_stats.losses	mso:type.decimal
mso:military.service	mso:military.service.armed_force	mso:military.armed_force
mso:games.lottery_drawing	mso:games.lottery_drawing.prizes	mso:games.lottery_prize
mso:commerce.popcorn_maker	productsearch:commerce.popcorn_maker.kernel_capacity	mso:type.string
mso:film.film	mso:film.film.runtime_minutes	mso:type.decimal
mso:sports.fishing_site	mso:sports.fishing_site.nearby_fishing_sites	mso:sports.fishing_site
mso:media_common.urban_legend	mso:media_common.urban_legend.first_occurrence	mso:type.datetime
mso:book.pagination	mso:book.pagination.front_matter	mso:type.text
mso:fictional_universe.character	mso:fictional_universe.character.deceased	mso:type.boolean
mso:ice_hockey.team	mso:ice_hockey.team.current_roster	mso:ice_hockey.roster_position
mso:statistics.health_group	mso:statistics.health_group.birth_rate_per_thousand	mso:measurement_unit.dated_float
mso:education.academic_institution	mso:education.academic_institution.registrars_office	mso:location.location
mso:ice_hockey.player_season_statistics	mso:ice_hockey.player_season_statistics.player	mso:ice_hockey.player
mso:american_football.player	mso:american_football.player.rushing_fumbles_recovered_yards	mso:type.decimal
mso:business.operation	mso:business.operation.competitive_space_mediator	mso:business.competitive_space_mediator
mso:film.company_relationship	mso:film.company_relationship.film_cut	mso:film.cut_type
mso:event.action	mso:event.action.agent	mso:event.agent
mso:common.related_internal_concept	mso:common.related_internal_concept.source	mso:type.string
mso:film.film	mso:film.film.country	mso:location.sovereign
mso:time.daylight_saving_time	mso:time.daylight_saving_time.offset	mso:type.decimal
mso:cvg.computer_game_region	mso:cvg.computer_game_region.versions_released_in_this_region	mso:cvg.game_version
mso:biology.animal_organism	mso:biology.animal_organism.coat_color	mso:biology.coat_color
mso:book.edition	mso:book.edition.editor_of_this_edition	mso:book.author
mso:law.patent_assignee	mso:law.patent_assignee.patents_assigned	mso:law.us_patent
mso:local.entity	mso:local.entity.popularity	mso:common.popularity
mso:measurement_unit.measurement_system	mso:measurement_unit.measurement_system.catalytic_activity_units	mso:measurement_unit.catalytic_activity_unit
mso:education.honorary_degree	mso:education.honorary_degree.educational_degree	mso:education.educational_degree
mso:music.conductor	mso:music.conductor.operas_conducted	mso:opera.production
mso:sports.championship	mso:sports.championship.championship_event	mso:sports.championship_event
mso:language.writing_system	mso:language.writing_system.language	mso:language.human_language
mso:statistics.economic_group	mso:statistics.economic_group.value_stocks_traded	mso:measurement_unit.dated_percentage
mso:commerce.brand	mso:commerce.brand.video	mso:media_common.video_offer
mso:chemistry.chemical_compound	mso:chemistry.chemical_compound.pubchem_id	mso:type.string
mso:local.accommodation	mso:local.accommodation.price_per_person_per_night	mso:measurement_unit.dated_money_value
mso:distilled_spirits.spirit_blender	mso:distilled_spirits.spirit_blender.infusions	mso:distilled_spirits.infused_spirit
mso:government.government_agreement	mso:government.government_agreement.agreement_party	mso:location.sovereign
mso:food.recipe_ingredient	mso:food.recipe_ingredient.ingredient	mso:food.ingredient
mso:organization.organization	mso:organization.organization.religion	mso:religion.religion
mso:common.order	mso:common.order.order_date	mso:type.datetime
mso:commerce.retailer_price_relationship	mso:commerce.retailer_price_relationship.country	mso:location.sovereign
mso:education.educational_institution	mso:education.educational_institution.school_type	mso:education.school_type
mso:royalty.noble_title_tenure	mso:royalty.noble_title_tenure.successor	mso:royalty.noble_person
mso:martial_arts.martial_art	mso:martial_arts.martial_art.origin	mso:location.location
mso:geography.glacier	mso:geography.glacier.glacier_type	mso:geography.glacier_type
mso:statistics.economic_group	mso:statistics.economic_group.industry_percent_gdp	mso:measurement_unit.dated_percentage
mso:award.ceremony	mso:award.ceremony.most_honored	mso:award.winning_work
mso:medicine.dietary_supplement	mso:medicine.dietary_supplement.recommended_intake	mso:medicine.dosage_schedule
mso:education.educational_institution	mso:education.educational_institution.honorary_degrees_awarded	mso:education.honorary_degree
mso:people.ethnicity	mso:people.ethnicity.parent_ethnicity	mso:people.ethnicity
mso:conferences.conference_subject	mso:conferences.conference_subject.series_of_conferences_about_this	mso:conferences.conference_series
mso:tv.recurring_tv_appearance	mso:tv.recurring_tv_appearance.program	mso:tv.program
mso:people.deceased_person	mso:people.deceased_person.cause_of_death	mso:people.cause_of_death
mso:cricket.tournament_event	mso:cricket.tournament_event.tournament	mso:cricket.tournament
mso:cricket.captain_tenure	mso:cricket.captain_tenure.team	mso:cricket.team
mso:religion.saint	mso:religion.saint.relic	mso:religion.relic
mso:media_common.dedication	mso:media_common.dedication.dedicatee	mso:event.agent
mso:chemistry.chemical_compound	mso:chemistry.chemical_compound.critical_point_pressure	mso:type.decimal
mso:statistics.electric_power_source	mso:statistics.electric_power_source.energy_source	mso:type.string
mso:sports.volleyball_player	mso:sports.volleyball_player.team	mso:sports.volleyball_team_type
mso:statistics.infrastructure_group	mso:statistics.infrastructure_group.energy_consumption_road_sector	mso:measurement_unit.dated_percentage
mso:film.film	mso:film.film.post_production	mso:measurement_unit.time_interval
mso:religion.religion	mso:religion.religion.type_of_place_of_worship	mso:religion.type_of_place_of_worship
mso:engineering.signal_modulation_mode	mso:engineering.signal_modulation_mode.parent_modulation	mso:engineering.signal_modulation_mode
mso:music.instrument	mso:music.instrument.family	mso:music.instrument
mso:medicine.disease	mso:medicine.disease.diagnostic_test_sign_free_text	mso:type.text
mso:cricket.roster_batting	mso:cricket.roster_batting.fours	mso:type.decimal
mso:rail.train	mso:rail.train.replaced	mso:rail.train
mso:media_common.cataloged_value	mso:media_common.cataloged_value.catalog_category	mso:media_common.catalog_category
mso:cricket.roster	mso:cricket.roster.roster_keeping	mso:cricket.roster_keeping
mso:astronomy.celestial_object	mso:astronomy.celestial_object.axial_tilt	mso:type.decimal
mso:ratings.rated_entity	mso:ratings.rated_entity.weighted_aggregate_rating	mso:type.decimal
mso:amusement_parks.park	mso:amusement_parks.park.owner	mso:business.asset_ownership
mso:book.author	mso:book.author.institution	mso:organization.organization
mso:library.public_library_system	mso:library.public_library_system.public_library	mso:library.public_library
mso:library.public_library_system	mso:library.public_library_system.oclc_id	mso:type.string
mso:people.person	mso:people.person.relatives	mso:people.kinship_relationship
mso:common.webpage	mso:common.webpage.reviewed_by	mso:event.agent
mso:organization.registration	mso:organization.registration.registered_organization	mso:organization.organization
mso:language.linguistic_meaning	mso:language.linguistic_meaning.submeaning	mso:language.linguistic_meaning
mso:education.school	mso:education.school.student_teacher_ratio	mso:education.student_teacher_ratio
mso:measurement_unit.measurement_system	mso:measurement_unit.measurement_system.illuminance_units	mso:measurement_unit.illuminance_unit
mso:application.software	mso:application.software.download_count	mso:type.decimal
mso:opera.opera	mso:opera.opera.date_of_first_performance	mso:type.datetime
mso:rail.rolling_stock_tenure	mso:rail.rolling_stock_tenure.locomotive	mso:rail.locomotive
mso:broadcast.broadcast	mso:broadcast.broadcast.language	mso:language.human_language
mso:government.us_vice_presidential_campaign	mso:government.us_vice_presidential_campaign.running_mate	mso:government.us_presidential_campaign
mso:business.standard_industrial_classification	mso:business.standard_industrial_classification.code	mso:type.decimal
mso:government.election	mso:government.election.election_results	mso:government.election_results
mso:media_common.video_source	mso:media_common.video_source.source_size	mso:type.decimal
mso:computer.software	mso:computer.software.latest_version	mso:type.text
mso:geography.lake	mso:geography.lake.width	mso:type.decimal
mso:real_estate.school_distance_relationship	mso:real_estate.school_distance_relationship.school	mso:education.school
mso:commerce.air_conditioner	productsearch:commerce.air_conditioner.decibel_rating	mso:type.string
mso:fictional_universe.setting	mso:fictional_universe.setting.contains	mso:fictional_universe.setting
mso:tv.network	mso:tv.network.areas_served	mso:location.location
mso:biology.animal_breed	mso:biology.animal_breed.boy_names	mso:type.string
mso:architecture.lighthouse	mso:architecture.lighthouse.admiralty_number	mso:type.string
mso:book.book	mso:book.book.editions	mso:book.edition
mso:language.linguistic_unit	mso:language.linguistic_unit.broader	mso:language.linguistic_unit
mso:organization.non_profit_registration	mso:organization.non_profit_registration.non_profit_organization	mso:organization.non_profit_organization
mso:music.release_track	mso:music.release_track.length	mso:type.decimal
mso:religion.place_of_worship_historical_use	mso:religion.place_of_worship_historical_use.from_date	mso:type.datetime
mso:film.film_song_relationship	mso:film.film_song_relationship.composition	mso:film.film_song
mso:geography.island	mso:geography.island.body_of_water	mso:geography.body_of_water
mso:measurement_unit.amount_concentration_unit	mso:measurement_unit.amount_concentration_unit.measurement_system	mso:measurement_unit.measurement_system
mso:common.attribution	mso:common.attribution.last_updated	mso:type.datetime
mso:soccer.player_transfer	mso:soccer.player_transfer.transfer_fee_currency	mso:finance.currency
mso:soccer.team	mso:soccer.team.league	mso:soccer.league_participation
mso:measurement_unit.specific_heat_capacity_unit	mso:measurement_unit.specific_heat_capacity_unit.capacity_in_joules_per_kilogram_per_kelvin	mso:type.decimal
mso:chemistry.chemical_compound	mso:chemistry.chemical_compound.boiling_point	mso:type.decimal
mso:rail.steam_locomotive_class	mso:rail.steam_locomotive_class.steam_locomotive_fuel_type	mso:rail.steam_locomotive_fuel_type
mso:internet.fanpage	mso:internet.fanpage.fancount_count	mso:measurement_unit.dated_float
mso:law.patent	mso:law.patent.attorney	mso:event.agent
mso:education.school	mso:education.school.school_district	mso:education.school_district
mso:biology.organism_classification	mso:biology.organism_classification.discoverer	mso:event.agent
mso:measurement_unit.money_value	mso:measurement_unit.money_value.amount	mso:type.decimal
mso:opera.production_staff_gig	mso:opera.production_staff_gig.production_staff_role	mso:opera.production_staff_role
mso:business.oil_field	mso:business.oil_field.producing_wells	mso:measurement_unit.dated_integer
mso:cvg.computer_videogame	mso:cvg.computer_videogame.prequel	mso:cvg.computer_videogame
mso:automotive.motorcycle_generation	mso:automotive.motorcycle_generation.distinguishing_feature	mso:engineering.engine_technology
mso:location.administrative_division	mso:location.administrative_division.fips_10_4	mso:type.string
mso:cricket.coach_tenure	mso:cricket.coach_tenure.odi_stats	mso:cricket.team_stats
mso:cricket.bowling_pace	mso:cricket.bowling_pace.max_speed_kmph	mso:type.decimal
mso:visual_art.art_period_movement	mso:visual_art.art_period_movement.associated_artwork	mso:visual_art.artwork
mso:biology.animal	mso:biology.animal.horn_antler_length	mso:measurement_unit.qualified_value
mso:education.online_course	mso:education.online_course.preview_video_source	mso:media_common.video_source
mso:organization.national_taxonomy_of_exempt_entities	mso:organization.national_taxonomy_of_exempt_entities.nonprofit_organization	mso:organization.non_profit_organization
mso:cvg.computer_videogame	mso:cvg.computer_videogame.soundtracks	mso:cvg.video_game_soundtrack
mso:measurement_unit.measurement_system	mso:measurement_unit.measurement_system.permeability_units	mso:measurement_unit.permeability_unit
mso:law.legal_case	mso:law.legal_case.holding	mso:type.text
mso:government.position_held	mso:government.position_held.office_holder	mso:government.politician
mso:language.dialect	mso:language.dialect.language	mso:language.human_language
mso:music.conducting_tenure	mso:music.conducting_tenure.conducted_ensemble	mso:music.conducted_ensemble
mso:medicine.icd_9_cm_classification	mso:medicine.icd_9_cm_classification.code	mso:type.string
mso:sports.multi_event_tournament	mso:sports.multi_event_tournament.competitions	mso:sports.tournament_event_competition
mso:law.court_courthouse_relationship	mso:law.court_courthouse_relationship.to_date	mso:type.datetime
mso:law.us_patent	mso:law.us_patent.patent_number	mso:type.string
mso:geography.lake	mso:geography.lake.city	mso:location.populated_place
mso:language.regulator	mso:language.regulator.language	mso:language.human_language
mso:measurement_unit.measurement_system	mso:measurement_unit.measurement_system.magnetic_field_strength_units	mso:measurement_unit.magnetic_field_strength_unit
mso:common.related_internal_concept	mso:common.related_internal_concept.similarity_score	mso:type.decimal
mso:law.us_patent	mso:law.us_patent.invention	mso:law.invention
mso:fictional_universe.character_powers	mso:fictional_universe.character_powers.hidden	mso:type.boolean
experimental:fb_schema_staging.menu_provider	experimental:fb_schema_staging.menu_provider.menu	experimental:fb_schema_staging.menu
mso:music.musician	mso:music.musician.instruments_played	mso:music.instrument
mso:royalty.precedence	mso:royalty.precedence.higher_rank	mso:royalty.noble_rank
mso:religion.deity	mso:religion.deity.symbol	mso:type.text
mso:food.serving_size_structured	mso:food.serving_size_structured.number	mso:type.decimal
mso:cricket.player_stats	mso:cricket.player_stats.batting_average	mso:type.decimal
mso:medicine.exercise_plan	mso:medicine.exercise_plan.total_calories_burned	mso:type.decimal
mso:ratings.review	mso:ratings.review.review_snippet	mso:type.text
mso:computer.tape_drive	mso:computer.tape_drive.drive_type	mso:type.string
mso:medicine.drug_formulation	mso:medicine.drug_formulation.strength	mso:medicine.drug_strength
mso:music.single	mso:music.single.a-side	mso:music.track
mso:biology.organism_classification	mso:biology.organism_classification.habitat	mso:geography.geographical_feature
mso:travel.cruise	mso:travel.cruise.ship_size	mso:type.text
mso:basketball.team_stats	mso:basketball.team_stats.average_turnovers	mso:type.decimal
mso:location.country_region	mso:location.country_region.travel_requirements	mso:travel.travel_requirements
mso:religion.religious_organization	mso:religion.religious_organization.associated_with	mso:religion.religion
mso:language.token	mso:language.token.text_end_index	mso:type.decimal
mso:cricket.series	mso:cricket.series.result	mso:type.text
mso:computer.hard_drive	mso:computer.hard_drive.buffer_size	mso:type.decimal
mso:distilled_spirits.fermentation_base	mso:distilled_spirits.fermentation_base.spirit_products	mso:distilled_spirits.distilled_spirit_type
mso:internet.social_network_user	mso:internet.social_network_user.myspace_id	mso:type.string
mso:sports.season	mso:sports.season.highest_scoring_game	mso:sports.game
mso:food.type_of_dish	mso:food.type_of_dish.dish	mso:food.dish
mso:law.robbery	mso:law.robbery.stolen_item	mso:business.asset
mso:automotive.trim_level	mso:automotive.trim_level.rear_headroom_in_mm	mso:type.decimal
mso:basketball.team_stats	mso:basketball.team_stats.average_steals	mso:type.decimal
mso:rail.locomotive_class	mso:rail.locomotive_class.multiple_working	mso:type.text
mso:military.posting	mso:military.posting.to_date	mso:type.datetime
mso:royalty.precedence	mso:royalty.precedence.system_of_nobility	mso:royalty.system_of_nobility
mso:religion.deity	mso:religion.deity.battle	mso:military.conflict
mso:government.agency	mso:government.agency.predecessor_agency	mso:government.agency
mso:ratings.review_sentiment	mso:ratings.review_sentiment.sample_sentence	mso:type.text
mso:statistics.population_group	mso:statistics.population_group.poverty_rate	mso:measurement_unit.dated_float
mso:food.brewery	mso:food.brewery.beers_styles_produced	mso:food.beer_style
mso:language.token	mso:language.token.text	mso:common.text
mso:internet.fanpage	mso:internet.fanpage.fancount	mso:type.decimal
mso:organization.club	mso:organization.club.interest	mso:interests.interest
mso:food.cheese	mso:food.cheese.aging_time	mso:type.text
mso:education.cost	mso:education.cost.international_tuition	mso:measurement_unit.dated_money_value
mso:travel.tourist_attraction	mso:travel.tourist_attraction.location	mso:location.location
mso:book.scholarly_work	mso:book.scholarly_work.acknowledged_people	mso:people.person
mso:law.patent	mso:law.patent.date_issued	mso:type.datetime
mso:book.edition	mso:book.edition.cover_price	mso:measurement_unit.money_value
mso:ratings.rated_entity	mso:ratings.rated_entity.rating_scale	mso:type.decimal
mso:event.commercial_flight_action	mso:event.commercial_flight_action.arrival_time	mso:type.datetime
mso:royalty.monarch	mso:royalty.monarch.coronation	mso:royalty.coronation
mso:law.crime	mso:law.crime.accusation	mso:law.criminal_accusation
mso:commerce.printer	mso:commerce.printer.roll_size	mso:type.string
mso:transportation.trail	mso:transportation.trail.season	mso:time.season
mso:basketball.team	mso:basketball.team.team_stats	mso:basketball.team_stats
mso:statistics.population_group	mso:statistics.population_group.female_services_employees	mso:measurement_unit.dated_percentage
mso:location.sovereign	mso:location.sovereign.government_tenure	mso:government.government_tenure
mso:amusement_parks.roller_coaster	mso:amusement_parks.roller_coaster.train_configuration	mso:amusement_parks.roller_coaster_train_configuration
mso:games.game	mso:games.game.maximum_playing_time_minutes	mso:type.decimal
mso:biology.breed_average_weight	mso:biology.breed_average_weight.breed	mso:biology.animal_breed
mso:astronomy.asteroid_spectral_type	mso:astronomy.asteroid_spectral_type.asteroids_of_this_type	mso:astronomy.asteroid
mso:book.edition	mso:book.edition.isfdb_id	mso:type.string
mso:book.written_work	mso:book.written_work.original_language	mso:language.human_language
mso:real_estate.house	mso:real_estate.house.garage_area	mso:type.decimal
mso:library.research_collection	mso:library.research_collection.subject	mso:media_common.subject
mso:sports.fishing_site	mso:sports.fishing_site.fish	mso:biology.sporting_fish
mso:sports.team	mso:sports.team.fight_song	mso:sports.fight_song
mso:film.featured_song	mso:film.featured_song.performer	mso:music.artist
mso:comic_books.character	mso:comic_books.character.story_specific_appearances	mso:comic_books.story
mso:transportation.transportation_structure	mso:transportation.transportation_structure.traffic	mso:measurement_unit.dated_integer
mso:spaceflight.rocket_engine	mso:spaceflight.rocket_engine.dry_mass	mso:type.decimal
mso:tv.comedy_group_membership	mso:tv.comedy_group_membership.comedy_group	mso:tv.comedy_group
mso:sports.sports_team_roster	mso:sports.sports_team_roster.status	mso:sports.player_status
mso:commerce.air_purifier	productsearch:commerce.air_purifier.removes_viruses	mso:type.string
mso:government.election	mso:government.election.campaigns	mso:government.election_campaign
mso:ratings.rating	mso:ratings.rating.aggregation_type	mso:type.string
mso:travel.destination_monthly_climate	mso:travel.destination_monthly_climate.average_min_temp_c	mso:type.decimal
mso:sports.golfer_tour_relationship	mso:sports.golfer_tour_relationship.wins	mso:type.decimal
mso:royalty.chivalric_rank	mso:royalty.chivalric_rank.gender	mso:people.gender
mso:education.acceptance_rate	mso:education.acceptance_rate.year	mso:type.datetime
mso:basketball.team_stats	mso:basketball.team_stats.average_blocks	mso:type.decimal
mso:soccer.goal	mso:soccer.goal.scorer	mso:soccer.player
mso:commerce.freezer	productsearch:commerce.freezer.freezer_capacity	mso:type.string
mso:food.recipe_ingredient	mso:food.recipe_ingredient.grouping_name	mso:type.text
mso:business.product_ingredient	mso:business.product_ingredient.variety_of	mso:business.product_ingredient
mso:people.person	mso:people.person.networth	mso:measurement_unit.dated_money_value
mso:media_common.finished_work	mso:media_common.finished_work.completion_of_unfinished_work	mso:media_common.completion_of_unfinished_work
mso:law.robbery	mso:law.robbery.value_of_stolen_goods	mso:measurement_unit.dated_money_value
mso:commerce.consumer_product	mso:commerce.consumer_product.product_number	mso:type.string
mso:military.conflict	mso:military.conflict.combatants	mso:military.combatant_group
mso:metropolitan_transit.transit_stop	mso:metropolitan_transit.transit_stop.transit_system	mso:metropolitan_transit.transit_system
mso:film.film	mso:film.film.production_company	mso:film.production_company
mso:music.album	mso:music.album.play_link	mso:common.webpage
mso:chemistry.chemical_element	mso:chemistry.chemical_element.cas_id	mso:type.string
mso:astronomy.celestial_object_with_coordinate_system	mso:astronomy.celestial_object_with_coordinate_system.planetographic_coordinate_system	mso:astronomy.planetographic_coordinate_system
mso:medicine.medical_trial	mso:medicine.medical_trial.maximum_age_for_eligibility	mso:type.decimal
mso:film.set_designer	mso:film.set_designer.film	mso:film.film
mso:award.judging_term	mso:award.judging_term.award	mso:award.category
mso:tennis.player	mso:tennis.player.matches_lost	mso:tennis.match
mso:internet.top_level_domain	mso:internet.top_level_domain.domain_type	mso:internet.top_level_domain_type
mso:automotive.individual_motorcycle	mso:automotive.individual_motorcycle.motorcycle_make	mso:automotive.motorcycle_make
mso:tv.segment_performance	mso:tv.segment_performance.segment	mso:tv.episode_segment
mso:education.university	mso:education.university.fraternity_sorority	mso:education.fraternity_sorority
mso:food.chef	mso:food.chef.restaurant	mso:food.restaurant_chef_association
mso:ice_hockey.division	mso:ice_hockey.division.teams	mso:ice_hockey.team
mso:education.education	mso:education.education.major	mso:education.field_of_study
mso:measurement_unit.measurement_system	mso:measurement_unit.measurement_system.specific_energy_units	mso:measurement_unit.specific_energy_unit
mso:cricket.team_stats	mso:cricket.team_stats.ranking_by_date	mso:measurement_unit.dated_float
mso:architecture.light_attributes	mso:architecture.light_attributes.sequence_duration	mso:type.decimal
mso:skiing.ski_lift	mso:skiing.ski_lift.lift_type	mso:skiing.lift_tenure
mso:tennis.player	mso:tennis.player.number_of_tennis_titles	mso:type.decimal
mso:law.judgment	mso:law.judgment.community_service_hours	mso:type.decimal
mso:book.conference_paper	mso:book.conference_paper.conference	mso:conferences.conference
mso:commerce.product	mso:commerce.product.model_number	mso:type.string
mso:adult.porn_star_category_relationship	mso:adult.porn_star_category_relationship.rank	mso:type.decimal
mso:statistics.infrastructure_group	mso:statistics.infrastructure_group.agriculture_freshwater_withdrawal	mso:measurement_unit.dated_percentage
mso:tv.contestant_appearance	mso:tv.contestant_appearance.team	mso:event.agent
mso:adult.website_category_relationship	mso:adult.website_category_relationship.total_new_videos	mso:type.decimal
mso:commerce.treadmill	productsearch:commerce.treadmill.console_display_type	mso:type.string
mso:commerce.clothes_dryer	productsearch:commerce.clothes_dryer.dryer_power_source	mso:type.string
mso:royalty.noble_rank	mso:royalty.noble_rank.used_in	mso:royalty.system_rank_relationship
mso:music.track	mso:music.track.primary_album	mso:music.album
mso:government.polled_entity	mso:government.polled_entity.poll_score	mso:government.election_poll_score
mso:ratings.review	mso:ratings.review.type	mso:ratings.review_type
mso:protected_sites.site_listing_category	mso:protected_sites.site_listing_category.subcategories	mso:protected_sites.site_listing_category
mso:medicine.drug_label_section	mso:medicine.drug_label_section.section_uri	mso:type.uri
mso:tennis.tournament_championship	mso:tennis.tournament_championship.tournament	mso:tennis.tournament
mso:medicine.diagnostic_test_signs	mso:medicine.diagnostic_test_signs.test	mso:medicine.diagnostic_test
mso:zoos.zoo	mso:zoos.zoo.geolocation	mso:location.geocode
mso:opera.production_staff_role	mso:opera.production_staff_role.production_staff	mso:opera.production_staff_gig
mso:skiing.yearly_snowfall	mso:skiing.yearly_snowfall.season_start	mso:type.datetime
mso:government.political_party	mso:government.political_party.country	mso:location.sovereign
mso:medicine.disease	mso:medicine.disease.expectation_free_text	mso:type.text
mso:rail.steam_locomotive_class	mso:rail.steam_locomotive_class.heating_surface_tubes_flues	mso:type.decimal
mso:sports.exercise_circuit_component	mso:sports.exercise_circuit_component.ordering	mso:type.decimal
mso:event.disaster	mso:event.disaster.cause	mso:event.disaster_cause
mso:measurement_unit.measurement_system	mso:measurement_unit.measurement_system.specific_volume_units	mso:measurement_unit.specific_volume_unit
mso:education.facility_sport_type	mso:education.facility_sport_type.sport	mso:sports.sport
mso:sports.volleyball_team_type	mso:sports.volleyball_team_type.to	mso:type.datetime
mso:royalty.system_of_nobility	mso:royalty.system_of_nobility.system_title_relationship	mso:royalty.system_title_relationship
mso:people.person	mso:people.person.business_employment_tenure	mso:business.employment_tenure
mso:business.sponsorship	mso:business.sponsorship.sponsored_by	mso:event.agent
experimental:fb_schema_staging.heya_wrestler_relationship	experimental:fb_schema_staging.heya_wrestler_relationship.heya	experimental:fb_schema_staging.heya
mso:sports.player_debut	mso:sports.player_debut.debut_opposing_team	mso:sports.team
mso:skiing.terrain_park_breakdown	mso:skiing.terrain_park_breakdown.number_half_pipes_open	mso:type.decimal
mso:government.position_held	mso:government.position_held.holder_status	mso:type.string
mso:commerce.consumer_product	mso:commerce.consumer_product.retailer_price_relationship	mso:commerce.retailer_price_relationship
mso:automotive.trim_level	mso:automotive.trim_level.model	mso:automotive.model
mso:medicine.drug	mso:medicine.drug.atccode	mso:type.string
mso:commerce.electric_generator	productsearch:commerce.electric_generator.response_time	mso:type.string
mso:book.written_work	mso:book.written_work.reference_count	mso:type.decimal
mso:people.person	mso:people.person.sibling	mso:people.sibling_relationship
mso:comic_strips.comic_strip	mso:comic_strips.comic_strip.creator_of_strip	mso:comic_strips.creator_duration
mso:real_estate.housing_value_change	mso:real_estate.housing_value_change.estimated_price	mso:real_estate.estimated_price
mso:games.playing_card_game	mso:games.playing_card_game.deck_type	mso:games.playing_card_deck_type
mso:aviation.airliner_accident	mso:aviation.airliner_accident.fatality	mso:type.decimal
mso:sports.triathlon	mso:sports.triathlon.swim_distance	mso:type.decimal
mso:automotive.vehicle	mso:automotive.vehicle.exterior_color	mso:automotive.exterior_color
mso:computer.software	mso:computer.software.compatible_oses	mso:computer.software_compatibility
mso:commerce.sewing_machine	productsearch:commerce.sewing_machine.free_arm	mso:type.string
mso:sports.volleyball_team_type	mso:sports.volleyball_team_type.points	mso:type.decimal
mso:cvg.platform	mso:cvg.platform.games_on_this_platform	mso:cvg.game_version
mso:commerce.digital_camera	mso:commerce.digital_camera.format	mso:commerce.digital_camera_format
mso:medicine.diagnostic_test_signs	mso:medicine.diagnostic_test_signs.sign	mso:medicine.diagnostic_sign
mso:religion.place_of_worship_historical_use	mso:religion.place_of_worship_historical_use.place_of_worship	mso:religion.place_of_worship
mso:food.recommended_daily_value_type	mso:food.recommended_daily_value_type.value	mso:type.decimal
mso:statistics.housing_group	mso:statistics.housing_group.housing_units	mso:measurement_unit.dated_integer
mso:cricket.captain	mso:cricket.captain.overall_odi_stats	mso:cricket.team_stats
mso:location.dam	mso:location.dam.hydraulic_head	mso:type.decimal
mso:government.election	mso:government.election.election_year	mso:type.datetime
mso:astronomy.star_system	mso:astronomy.star_system.dwarf_planet	mso:astronomy.dwarf_planet
mso:music.multipart_release	mso:music.multipart_release.component	mso:music.release_component
mso:architecture.apartment	mso:architecture.apartment.availability	mso:type.text
mso:people.person	mso:people.person.relationship_status	mso:type.text
mso:comic_strips.syndicate_duration	mso:comic_strips.syndicate_duration.from	mso:type.datetime
mso:event.agent	mso:event.agent.address_line	mso:type.string
mso:organization.committee_membership	mso:organization.committee_membership.title	mso:organization.committee_title
mso:music.track	mso:music.track.acquire_webpage	mso:common.webpage
mso:tv.network_duration	mso:tv.network_duration.network	mso:tv.network
mso:government.legislative_committee_membership	mso:government.legislative_committee_membership.start_date	mso:type.datetime
mso:cricket.bowler_stats	mso:cricket.bowler_stats.wickets	mso:type.decimal
mso:automotive.trim_level	mso:automotive.trim_level.option_package	mso:automotive.option_package
mso:geography.body_of_water	mso:geography.body_of_water.tidal_range	mso:type.decimal
mso:statistics.environment_group	mso:statistics.environment_group.marine_protected_areas	mso:measurement_unit.dated_percentage
mso:cvg.computer_game_content_descriptor	mso:cvg.computer_game_content_descriptor.versions_with_this_descriptor	mso:cvg.computer_game_evaluation
mso:internet.social_network_user	mso:internet.social_network_user.post_count	mso:type.decimal
mso:law.constitution	mso:law.constitution.amendments	mso:law.constitutional_amendment
mso:geography.geographical_feature	mso:geography.geographical_feature.width_orientation	mso:geography.compass_point_direction
